,CompanyName,Cusine,Importance,Address,PhoneNumber,Website,NumReviews,Overall,PriceRange,Prices,Puntuation
16,Lombardi A Santa Chiara,"['Italian', ' Pizza', ' Mediterranean', ' Healthy', ' Neapolitan', ' Campania', ' Southern-Italian']","#18 of 2,742 Restaurants in Naples","Via Benedetto Croce 59, 80134, Naples Italy",+39 081 552 0780,http://www.lombardisantachiara.it/,1369,4.5,€4 - €21,Na,"['126', '9', '2', '1', '1']"
17,Cuccuma Caffe,"['Seating', ' Serves Alcohol', ' Accepts Credit Cards', ' Table Service']","#21 of 2,742 Restaurants in Naples","Via San Giovanni Maggiore Pignatelli 1A, 80134, Naples Italy",+39 081 1970 8587,https://www.facebook.com/Cuccuma-Caff%C3%A8-118309389073173/,120,5.0,Na,Na,"['10', '1', '0', '0', '0']"
18,Stritt Stritt,"['Italian', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian', ' Seafood']","#19 of 2,742 Restaurants in Naples","Calata San Marco 44/45, 80133, Naples Italy",+39 081 1991 7711,http://www.facebook.com/Stritt-Stritt-487762148090635/,355,5.0,€8 - €15,Na,"['31', '6', '1', '2', '0']"
19,Garage Gourmand,"['Italian', ' Fusion', ' Neapolitan', ' Campania', ' Southern-Italian', ' Seafood', ' Mediterranean', ' Healthy']","#22 of 2,742 Restaurants in Naples","Via Aniello Falcone 30, 80127, Naples Italy",+39 081 1970 8618,https://www.facebook.com/garagegourmand/,128,5.0,€25 - €50,Na,"['112', '11', '4', '0', '1']"
20,BarBeQool,"['American', ' Steakhouse', ' Barbecue', ' Grill', ' Dining bars']","#20 of 2,742 Restaurants in Naples","via Giovanni merliani 110 Incrocio con via massimo stanzione, 80129, Naples Italy",+39 081 922 4538,http://www.barbeqool.it/,157,5.0,€18 - €45,"[7.0, 7.5, 6.0]","['2', '0', '0', '0', '0']"
21,Jammin Bistrot Italian Comfort Food,"['Italian', ' American', ' Bar', ' Gastropub', ' Neapolitan', ' Campania', ' Southern-Italian', ' Mediterranean', ' Pub']","#23 of 2,742 Restaurants in Naples","Via Gioacchino Rossini 9/11 Incrocio Via Gemito, 80128, Naples Italy",+39 081 1925 7694,http://www.facebook.com/Jamminbistrot/,251,5.0,€10 - €25,"[6.0, 6.0, 7.5, 8.0, 6.0]","['2', '0', '0', '0', '0']"
22,400 gradi Di Ciro & Salvio Rapuano,"['Vegetarian Friendly', ' Vegan Options']","#24 of 2,742 Restaurants in Naples","Via Concezione a Montecalvario 12, 80134, Naples Italy",+39 081 038 3232,http://www.facebook.com/Pizzeria-400Gradi-di-Ciro-Salvio-Rapuano-1681241778771506,1005,4.5,Na,Na,"['99', '13', '2', '2', '2']"
23,Il Piastrato,"['Italian', ' Steakhouse', ' Mediterranean', ' Deli', ' Neapolitan', ' Campania', ' Southern-Italian']","#25 of 2,742 Restaurants in Naples","Via Silvio Spaventa 48/50, 80142, Naples Italy",+39 081 228 1074,http://www.ilpiastrato.it/,232,5.0,€5 - €30,Na,"['42', '4', '0', '0', '0']"
24,Antichi Sapori Partenopei,"['Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']","#26 of 2,742 Restaurants in Naples","Via Chiaia 124 di fronte al Teatro Sannazaro, 80121, Naples Italy",+39 081 038 3493,https://www.facebook.com/pages/category/Restaurant/Antichi-Sapori-Partenopei-394427141071184/,1759,4.5,Na,"[12.0, 12.0, 11.0, 8.0, 16.0, 15.0, 14.0, 12.0, 16.0, 8.0]","['150', '38', '10', '3', '10']"
25,Osteria Napulion,"['Vegetarian Friendly', ' Vegan Options']","#27 of 2,742 Restaurants in Naples","Vico mondragone 30 angolo Giovanni nicotera 42 Napoli centro, 80132, Naples Italy",+39 081 1822 5533,http://www.facebook.com/pages/category/Kitchen-Cooking/Osteria-Napulion-2269323909787069,197,5.0,Na,Na,"['9', '0', '0', '1', '0']"
26,MadaLeo Cucina Tipica Napoletana,"['Vegetarian Friendly', ' Gluten Free Options']","#28 of 2,742 Restaurants in Naples","Via Emanuele Gianturco 87, 80142, Naples Italy",+39 081 1955 1365,https://www.facebook.com/MadaleoCucinaNapoletana/,103,5.0,Na,Na,"['4', '0', '0', '0', '0']"
27,Tavernetta Colauri,"['Italian', ' Mediterranean', ' Barbecue', ' Neapolitan', ' Campania', ' Southern-Italian']","#29 of 2,742 Restaurants in Naples","Via Comunale Margherita 245 Nei pressi piazza Santa Croce, 80145, Naples Italy",+39 081 770 5639,http://www.tavernettacolauri.it/,1082,4.5,€25 - €40,Na,"['4', '0', '0', '0', '0']"
28,Pescheria lo squalo,"['Lunch', ' Dinner', ' Late Night']","#30 of 2,742 Restaurants in Naples","Via Giustiniano 273 Soccavo Napoli, 80100, Naples Italy",+39 331 832 4134,http://pescherialosqualo.business.site/,1476,4.5,Na,Na,"['20', '1', '0', '0', '2']"
29,Kjolle,"['South American', ' Peruvian', ' Healthy', ' Italian']","#352 of 2,742 Restaurants in Naples","Riviera di Chiaia 115, 80122, Naples Italy",+39 379 183 3548,https://www.facebook.com/Kjolle.Restaurant/?ref=page_internal,38,5.0,€15 - €50,"[16.0, 16.0, 15.0, 14.0, 10.0, 18.0, 20.0, 17.0, 14.0, 17.0, 17.0, 16.0, 17.0, 15.0, 18.0, 16.0, 18.0, 20.0, 18.0, 20.0, 17.0, 15.0, 7.0, 8.0, 8.0, 9.0]","['35', '3', '0', '0', '0']"
30,Spuzzule Wine Bar,"['Brew Pub', ' Bar', ' Mediterranean', ' Wine Bar', ' Neapolitan', ' Campania', ' Southern-Italian']","#31 of 2,742 Restaurants in Naples","Vico Sergente Maggiore 54, 80132, Naples Italy",+39 393 432 1139,http://www.facebook.com/Spuzzule/,624,4.5,€5 - €50,Na,"['76', '11', '5', '3', '1']"
31,Michelasso,"['Italian', ' Seafood', ' Mediterranean', ' Healthy', ' Neapolitan', ' Campania', ' Southern-Italian']","#32 of 2,742 Restaurants in Naples","Via Santa Brigida 14/16, 80132, Naples Italy",+39 342 168 9562,http://www.michelasso.it/,81,5.0,€60 - €100,"[36.0, 28.0, 24.0, 20.0, 20.0, 75.0, 65.0]","['9', '1', '0', '1', '0']"
32,Taverna Luciana Cucina Napoletana E Pizzeria,"['Italian', ' Pizza', ' Seafood', ' Mediterranean', ' Healthy', ' Neapolitan', ' Campania', ' Southern-Italian']","#33 of 2,742 Restaurants in Naples","Via Santa Teresa Degli Scalzi 143/145, 80135, Naples Italy",+39 081 544 6313,https://www.facebook.com/tavernaluciana/,359,4.5,€10 - €35,"[9.0, 7.0, 8.0]","['17', '1', '0', '0', '1']"
33,Trattoria Pizzeria La Lazzara,"['Italian', ' Neapolitan', ' Campania']","#34 of 2,742 Restaurants in Naples","Piazza Francese 9/10, 80133, Naples Italy",+39 081 551 7854,http://www.codicereview.it/la-lazzara-home/,2696,4.5,€10 - €40,Na,"['353', '53', '11', '8', '10']"
34,Trattoria del Golfo,"['Italian', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian', ' Grill']","#35 of 2,742 Restaurants in Naples","Via Mergellina 1, 80122, Naples Italy",+39 081 1867 1882,http://www.trattoriadelgolfo.net/,236,4.5,€20 - €45,"[8.0, 9.0, 12.0, 10.0, 20.0]","['2', '1', '1', '0', '0']"
35,Il tempo del vino e delle rose,"['Italian', ' Cafe', ' International', ' Mediterranean', ' Neapolitan']","#333 of 2,742 Restaurants in Naples","Piazza Dante Alighieri 44/45, 80135, Naples Italy",+39 380 713 4511,http://www.facebook.com/iltempodelvinoedellerose/,256,4.5,€20 - €40,"[10.0, 20.0, 8.0, 6.0, 8.0]","['26', '9', '1', '2', '3']"
36,Pizzeria Speranzella,"['Italian', ' Pizza', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#37 of 2,742 Restaurants in Naples","Via Speranzella 84, 80132, Naples Italy",+39 081 1819 6384,http://www.pizzeriasperanzella.com/,423,5.0,€10 - €15,"[6.0, 6.0, 5.0]","['41', '2', '0', '0', '1']"
37,Honzen Fusion Japanese Restaurant,"['Japanese', ' Sushi', ' Japanese Fusion']","#38 of 2,742 Restaurants in Naples","Via Alessandro Manzoni 126 Angolo Via Giovanni Gentile, 1, 80123, Naples Italy",+39 081 714 7201,https://www.honzen.it/,532,4.5,€40 - €150,Na,"['12', '3', '0', '0', '0']"
38,Trattoria Don Alfonso,"['Italian', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#39 of 2,742 Restaurants in Naples","Via del Macello 43 Poggioreale di, 80143, Naples Italy",+39 338 412 3509,http://trattoriadonalfonso.com/,285,4.5,€15 - €25,"[6.0, 6.0, 6.0, 8.0, 7.0, 7.0, 10.0, 8.0, 8.0, 6.0]","['6', '4', '1', '0', '0']"
39,120 Grammi,"['Italian', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian', ' Street Food']","#40 of 2,742 Restaurants in Naples","Via Mezzocannone 24, 80134, Naples Italy",+39 333 873 9780,http://www.spaghettitakeaway.it/,192,4.5,€4 - €5,Na,"['9', '0', '0', '0', '0']"
40,Al 53,"['Italian', ' Seafood', ' Mediterranean', ' Healthy', ' Neapolitan', ' Campania', ' Southern-Italian']","#41 of 2,742 Restaurants in Naples","Piazza Dante Alighieri 53, 80135, Naples Italy",+39 081 549 9372,https://ristoranteal53.business.site/,2765,4.5,€15 - €25,"[5.0, 10.0, 15.0]","['202', '73', '27', '12', '13']"
41,Il Cantiere,"['Italian', ' American', ' Bar', ' Mediterranean', ' Barbecue', ' Pub', ' Brew Pub', ' Grill', ' Gastropub']","#42 of 2,742 Restaurants in Naples","Via San Giacomo dei Capri 24 Ingresso secondario Via Pietro Castellino, 80128, Naples Italy",+39 329 429 2170,http://www.facebook.com/CantierePub/,140,4.5,€13 - €40,Na,"['1', '0', '0', '0', '0']"
42,Caffe Bistrot Diaz,"['Italian', ' Cafe', ' Seafood', ' Mediterranean', ' European', ' Neapolitan', ' Campania', ' Southern-Italian']","#44 of 2,742 Restaurants in Naples","Via Dei Tribunali 25, 80138, Naples Italy",+39 081 292383,https://www.facebook.com/Caff%C3%A8-Bistrot-Diaz-1397115150612155,465,4.5,€6 - €15,Na,"['70', '26', '3', '1', '1']"
43,Osteria La Chitarra,['Vegetarian Friendly'],"#43 of 2,742 Restaurants in Naples","Rampe San Giovanni Maggiore 1, 80134, Naples Italy",+39 347 674 0073,http://www.osterialachitarra.it/,469,4.5,Na,"[14.0, 20.0]","['44', '12', '2', '2', '1']"
44,Pizzeria Pavia,"['Pizza', ' Italian', ' Neapolitan', ' Campania', ' Central-Italian', ' Southern-Italian']","#45 of 2,742 Restaurants in Naples","Via della Solitaria 34, 80132, Naples Italy",+39 081 764 5259,https://www.facebook.com/pizzeriaPaviaAntonio/,885,4.5,€5 - €10,Na,"['122', '8', '6', '3', '3']"
45,D'Angiò - Trattoria Napoletana,"['Italian', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#48 of 2,742 Restaurants in Naples","Via Dei Tribunali 336 Under the ancient arches, 80138, Naples Italy",+39 334 201 7397,http://www.facebook.com/trattoriadangio,234,4.5,€6 - €20,Na,"['14', '1', '0', '1', '1']"
46,Wapo Natural Food,"['Italian', ' Asian', ' Contemporary', ' Fusion', ' Campania', ' Southern-Italian']","#50 of 2,742 Restaurants in Naples","Piazza Ferdinando Fuga 9 di fronte alla Funicolare Centrale, 80127, Naples Italy",+39 081 229 2261,http://www.waponaturalfood.it/,228,4.5,€35 - €60,"[22.0, 20.0, 15.0, 18.0, 16.0]","['6', '1', '1', '0', '0']"
47,Biancomangiare Cucina e Cantina,"['Italian', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#49 of 2,742 Restaurants in Naples","Vico San Nicola Alla Carita' 13/14, 80134, Naples Italy",+39 081 552 0226,https://www.facebook.com/biancomangiarenapoli/,335,4.5,€9 - €36,Na,"['20', '9', '3', '0', '0']"
48,Meatin,"['Italian', ' Mediterranean', ' Barbecue', ' Contemporary']","#47 of 2,742 Restaurants in Naples","Via Timavo 25-27 angolo Corso Europa, 80126, Naples Italy",+39 081 1889 3517,http://www.meatin.it/,554,4.5,€25 - €40,"[11.0, 11.0, 12.0, 11.0, 14.0]","['4', '0', '0', '0', '0']"
49,Trattoria Da Papa,"['Vegetarian Friendly', ' Vegan Options', ' Gluten Free Options']","#51 of 2,742 Restaurants in Naples","Via Nuova del Campo 56, 80144, Naples Italy",+39 339 529 0435,http://www.facebook.com/Trattoria-Da-Pap%C3%A0-237916493044712/,740,4.5,Na,Na,"['117', '14', '2', '3', '3']"
50,I Buongustai,"['Vegetarian Friendly', ' Vegan Options']","#52 of 2,742 Restaurants in Naples","Via Dei Tribunali 201, 80139, Naples Italy",+39 081 446768,http://www.facebook.com/ibuongustaipizzeria/,175,4.5,Na,"[10.0, 3.0, 3.0]","['17', '6', '0', '0', '1']"
51,Trattoria e Pizzeria Rapuano,"['Italian', ' Pizza', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#53 of 2,742 Restaurants in Naples","Via Enrico Toti 7 Angolo Via Toledo, 80134, Naples Italy",+39 081 424 5584,http://www.facebook.com/RestaurantRapuano/,195,4.5,€5 - €20,Na,"['9', '1', '1', '0', '0']"
52,Da Donato dal 1956 Antica Trattoria e Pizzeria,"['Lunch', ' Dinner']","#54 of 2,742 Restaurants in Naples","Via Silvio Spaventa 37/43, 80142, Naples Italy",+39 081 287828,http://www.facebook.com/DA-DONATO-dal-1956-antica-trattoria-e-pizzeria-45298772503,3145,4.5,Na,Na,"['312', '71', '23', '10', '17']"
53,Salotto Nunziata,"['Italian', ' Mediterranean', ' Seafood', ' Neapolitan', ' Campania', ' Southern-Italian']","#55 of 2,742 Restaurants in Naples","Via Giovanni Bausan 41 5min Lungomare Caracciolo, 1 min Piazza Amedeo, 15 min Piazza del Plebiscito, 80121, Naples Italy",+39 081 252 5024,https://www.facebook.com/salottonunziata/,160,4.5,€30 - €60,[10.0],"['11', '2', '0', '0', '0']"
54,Trattoria Pizzeria Spaccanapoli,"['Vegetarian Friendly', ' Vegan Options']","#57 of 2,742 Restaurants in Naples","Via San Biagio Dei Librai 83, 80138, Naples Italy",+39 081 262175,http://www.trattoriapizzeriaspaccanapoli.it/,790,4.5,Na,"[5.0, 10.0, 7.0, 8.0]","['34', '7', '2', '3', '3']"
55,Prodotti Tipici Campani,"['Italian', ' Mediterranean', ' Deli', ' Wine Bar', ' Neapolitan', ' Campania', ' Southern-Italian']","#56 of 2,742 Restaurants in Naples","Via Diocleziano 67, 80125, Naples Italy",+39 334 745 0338,http://tipicocampanonapoli.it/,113,5.0,€10 - €50,"[6.0, 4.0, 4.0]","['2', '0', '0', '0', '0']"
56,Casa del Caffè,"['Italian', ' Bar', ' Cafe', ' Seafood', ' Mediterranean', ' European', ' Neapolitan', ' Campania', ' Southern-Italian']","#58 of 2,742 Restaurants in Naples","Via Arena della Sanita' 32/33 Presso Piazza Vergini, 80137, Naples Italy",+39 081 454340,https://www.facebook.com/pages/Casa-del-Caff%C3%A8/282992468471708?sk=info&tab=overview,271,4.5,€5 - €10,Na,"['23', '5', '0', '0', '2']"
57,Il Grotto Pub DI LUBRANO,"['Vegetarian Friendly', ' Gluten Free Options']","#61 of 2,742 Restaurants in Naples","Via Santa Teresa Degli Scalzi 88, 80135, Naples Italy",+39 081 019 4113,http://www.ilgrottopubdilubrano.it/,339,4.5,Na,[7.0],"['8', '4', '0', '0', '1']"
58,EVO 50 Pizza Food & Bun,"['Pizza', ' Italian', ' Neapolitan', ' Mediterranean']","#59 of 2,742 Restaurants in Naples","Calata Santi Cosma E Damiano 22, 80134, Naples Italy",+39 081 379 1291,http://www.evo50.it/napoli-centro-storico/,522,4.5,€5 - €18,Na,"['47', '12', '2', '2', '0']"
59,Il tempo del vino e delle rose,"['Italian', ' Cafe', ' International', ' Mediterranean', ' Neapolitan']","#333 of 2,742 Restaurants in Naples","Piazza Dante Alighieri 44/45, 80135, Naples Italy",+39 380 713 4511,http://www.facebook.com/iltempodelvinoedellerose/,256,4.5,€20 - €40,"[10.0, 20.0, 8.0, 6.0, 8.0]","['26', '9', '1', '2', '3']"
60,Trattoria Da Concetta,"['Neapolitan', ' Campania', ' Southern-Italian']","#60 of 2,742 Restaurants in Naples","Vico Santa Maria delle Grazie a Toledo 7 Via Speranzella 19, 80134, Naples Italy",+39 081 402208,http://trattoriadaconcetta1.com/,1040,4.5,€10 - €30,"[10.0, 13.0, 7.0, 8.0]","['50', '15', '6', '1', '4']"
61,Na Bona Furchetta Trattoria,"['Italian', ' Pizza', ' Seafood', ' Mediterranean', ' Healthy', ' Neapolitan', ' Campania', ' Southern-Italian']","#63 of 2,742 Restaurants in Naples","Piazza Carolina 10, 80132, Naples Italy",+39 081 764 9172,http://www.nabonafurchetta.it/,204,4.5,€6 - €25,Na,"['13', '0', '0', '0', '0']"
62,A Taverna d’ ‘e Zoccole,"['Lunch', ' Dinner']","#62 of 2,742 Restaurants in Naples","Vico Lungo del Gelso 96 entrando da piazza CARITA', percorrere Via Toledo e svoltare a dx in Via Montecalvario, 80134, Naples Italy",+39 081 1965 5361,https://www.instagram.com/atavernadezoccole/,79,5.0,Na,Na,"['4', '0', '0', '0', '0']"
63,Steak House,['Gluten Free Options'],"#65 of 2,742 Restaurants in Naples","Piazzetta Aniello Falcone 2/3, 80127, Naples Italy",+39 081 578 2306,http://www.instagram.com/steakhousevomero/?hl=it,1106,4.5,Na,Na,"['30', '4', '0', '1', '1']"
64,"Ristorante ""Amici Miei""","['Vegetarian Friendly', ' Gluten Free Options']","#64 of 2,742 Restaurants in Naples","Via Monte di Dio 77/78, 80132, Naples Italy",+39 081 764 6063,http://www.ristoranteamicimiei.com/,991,4.5,Na,"[11.0, 10.0, 10.0]","['151', '34', '8', '4', '1']"
65,Kjolle,"['South American', ' Peruvian', ' Healthy', ' Italian']","#352 of 2,742 Restaurants in Naples","Riviera di Chiaia 115, 80122, Naples Italy",+39 379 183 3548,https://www.facebook.com/Kjolle.Restaurant/?ref=page_internal,38,5.0,€15 - €50,"[16.0, 16.0, 15.0, 14.0, 10.0, 18.0, 20.0, 17.0, 14.0, 17.0, 17.0, 16.0, 17.0, 15.0, 18.0, 16.0, 18.0, 20.0, 18.0, 20.0, 17.0, 15.0, 7.0, 8.0, 8.0, 9.0]","['35', '3', '0', '0', '0']"
66,Taverna Dell’Arte,"['Italian', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#67 of 2,742 Restaurants in Naples","Rampe San Giovanni Maggiore 1/A, 80134, Naples Italy",+39 081 552 7558,http://www.tavernadellarte.it/,370,4.5,€20 - €50,Na,"['57', '7', '2', '3', '1']"
67,Trattoria Nanni,"['Italian', ' Seafood', ' Mediterranean', ' Healthy', ' Neapolitan', ' Campania', ' Southern-Italian']","#68 of 2,742 Restaurants in Naples","Via Tommaso Senise, 2/3/4, 80134, Naples Italy",+39 081 1925 2501,http://www.trattoriananni.eu/,1309,4.5,€12 - €25,"[12.0, 7.0, 10.0]","['118', '31', '11', '3', '3']"
68,Decumano 31,"['Pizza', ' Italian', ' Mediterranean', ' Street Food', ' Neapolitan', ' Campania', ' Southern-Italian']","#69 of 2,742 Restaurants in Naples","Via San Biagio Dei Librai 31, 80138, Naples Italy",+39 334 226 6769,http://www.facebook.com/Decumano31,915,4.5,€2 - €7,Na,"['55', '16', '4', '2', '1']"
69,Osteria Da Carmela,"['Italian', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#70 of 2,742 Restaurants in Naples","Via Conte di Ruvo 11/12, 80135, Naples Italy",+39 081 549 9738,http://www.osteriadacarmela.it/,942,4.5,€20 - €30,"[6.0, 8.0, 12.0]","['225', '54', '13', '9', '5']"
70,1947 pizza fritta,['Vegetarian Friendly'],"#71 of 2,742 Restaurants in Naples","Via Pietro Colletta 16 Angolo Corso Umberto Primo, 80139, Naples Italy",+39 333 400 8562,http://www.1947pizzafritta-napoli.it/,970,4.5,Na,Na,"['87', '29', '10', '4', '3']"
71,GiòGiò e Carmen Paninoteca e Crostoneria,"['Italian', ' Pub']","#73 of 2,742 Restaurants in Naples","Largo Antignano 7, 80128, Naples Italy",+39 347 398 2356,http://www.justeat.it/restaurants-giogioecarmenpaninoteca,353,4.5,€2 - €8,Na,"['0', '3', '1', '0', '0']"
72,Borbonika Napulitan Restaurant,"['Italian', ' Seafood', ' Mediterranean', ' Neapolitan', ' Campania', ' Southern-Italian']","#72 of 2,742 Restaurants in Naples","Via Michele Kerbaker 112, 80129, Naples Italy",+39 081 1870 3243,http://www.borbonika.it/,431,4.5,€10 - €35,"[8.0, 8.0, 12.0, 9.0, 12.0]","['4', '1', '0', '0', '1']"
73,Mangi & Bevi,['Vegetarian Friendly'],"#74 of 2,742 Restaurants in Naples","Via Sedile di Porto 92, 80134, Naples Italy",+39 081 552 9546,https://www.facebook.com/Mangiebevi/?rf=1457305931153452,318,4.5,Na,Na,"['24', '6', '0', '0', '0']"
74,Sea Front Pasta Bar,"['Italian', ' Mediterranean', ' European', ' Neapolitan', ' Campania', ' Southern-Italian']","#75 of 2,742 Restaurants in Naples","Piazza Municipio 1, 80133, Naples Italy",+39 081 1849 6287,https://www.facebook.com/dimartinoseafront/?rf=299015277227588,546,4.5,€18 - €85,"[15.0, 15.0, 15.0]","['108', '11', '5', '2', '3']"
